objectid,parentid,title,creator,film,source,date,description,subject,timestamp,angle,distance,location,movement,lighting,composition,duration,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
punc-03421,,PUNC-03421,Paul Thomas Anderson,Punch-Drunk Love,"Director-approved Blu-ray special edition. New York, New York: The Criterion Collection, 2016.",,,,0:34:21,eye-level,plan américain,exterior,mobile; pan,,single shot,,,Image;IIIF,,,"This screenshot, captured from a film that is under copyright, is made available on this website under fair use for scholarly purposes.",http://rightsstatements.org/vocab/InC/1.0/,iiif-image,https://digbmc.github.io/pta-manifests/punc/punc-03421/manifest.json,"https://digitalscholarship.brynmawr.edu/pta/punc/punc-03421/tiles/full/1920,1080/0/default.jpg","https://digitalscholarship.brynmawr.edu/pta/punc/punc-03421/tiles/full/300,169/0/default.jpg",A man standing in an alleyway.,
punc-03427,,PUNC-03427,Paul Thomas Anderson,Punch-Drunk Love,"Director-approved Blu-ray special edition. New York, New York: The Criterion Collection, 2016.",,,,0:34:27,eye-level,medium shot,interior,mobile; pan,,single shot,,,Image;IIIF,,,"This screenshot, captured from a film that is under copyright, is made available on this website under fair use for scholarly purposes.",http://rightsstatements.org/vocab/InC/1.0/,iiif-image,https://digbmc.github.io/pta-manifests/punc/punc-03427/manifest.json,"https://digitalscholarship.brynmawr.edu/pta/punc/punc-03427/tiles/full/1920,1080/0/default.jpg","https://digitalscholarship.brynmawr.edu/pta/punc/punc-03427/tiles/full/300,169/0/default.jpg",A man looks behind him while walking.,
punc-03429,,PUNC-03429,Paul Thomas Anderson,Punch-Drunk Love,"Director-approved Blu-ray special edition. New York, New York: The Criterion Collection, 2016.",,,,0:34:29,eye-level,medium shot,interior,mobile; pan,,single shot,,,Image;IIIF,,,"This screenshot, captured from a film that is under copyright, is made available on this website under fair use for scholarly purposes.",http://rightsstatements.org/vocab/InC/1.0/,iiif-image,https://digbmc.github.io/pta-manifests/punc/punc-03429/manifest.json,"https://digitalscholarship.brynmawr.edu/pta/punc/punc-03429/tiles/full/1920,1080/0/default.jpg","https://digitalscholarship.brynmawr.edu/pta/punc/punc-03429/tiles/full/300,169/0/default.jpg",A small piece of glass flies through the air.,
punc-03439,,PUNC-03439,Paul Thomas Anderson,Punch-Drunk Love,"Director-approved Blu-ray special edition. New York, New York: The Criterion Collection, 2016.",,,,0:34:39,eye-level,plan américain,interior,mobile; pan; tracking,,single shot,,,Image;IIIF,,,"This screenshot, captured from a film that is under copyright, is made available on this website under fair use for scholarly purposes.",http://rightsstatements.org/vocab/InC/1.0/,iiif-image,https://digbmc.github.io/pta-manifests/punc/punc-03439/manifest.json,"https://digitalscholarship.brynmawr.edu/pta/punc/punc-03439/tiles/full/1920,1080/0/default.jpg","https://digitalscholarship.brynmawr.edu/pta/punc/punc-03439/tiles/full/300,169/0/default.jpg",A man plays a harmonium.,
punc-03441,,PUNC-03441,Paul Thomas Anderson,Punch-Drunk Love,"Director-approved Blu-ray special edition. New York, New York: The Criterion Collection, 2016.",,,,0:34:41,eye-level,full shot,interior,mobile; handheld; tracking,,two shot,,,Image;IIIF,,,"This screenshot, captured from a film that is under copyright, is made available on this website under fair use for scholarly purposes.",http://rightsstatements.org/vocab/InC/1.0/,iiif-image,https://digbmc.github.io/pta-manifests/punc/punc-03441/manifest.json,"https://digitalscholarship.brynmawr.edu/pta/punc/punc-03441/tiles/full/1920,1080/0/default.jpg","https://digitalscholarship.brynmawr.edu/pta/punc/punc-03441/tiles/full/300,169/0/default.jpg",Two women walk into a warehouse.,
punc-03450,,PUNC-03450,Paul Thomas Anderson,Punch-Drunk Love,"Director-approved Blu-ray special edition. New York, New York: The Criterion Collection, 2016.",,,,0:34:50,low,medium shot,interior,mobile; handheld; pan; tracking,,two shot,,,Image;IIIF,,,"This screenshot, captured from a film that is under copyright, is made available on this website under fair use for scholarly purposes.",http://rightsstatements.org/vocab/InC/1.0/,iiif-image,https://digbmc.github.io/pta-manifests/punc/punc-03450/manifest.json,"https://digitalscholarship.brynmawr.edu/pta/punc/punc-03450/tiles/full/1920,1080/0/default.jpg","https://digitalscholarship.brynmawr.edu/pta/punc/punc-03450/tiles/full/300,169/0/default.jpg",Two women walk into a warehouse.,
punc-03453,,PUNC-03453,Paul Thomas Anderson,Punch-Drunk Love,"Director-approved Blu-ray special edition. New York, New York: The Criterion Collection, 2016.",,,,0:34:53,eye-level,full shot,interior,mobile; handheld; pan; tracking,,single shot,,,Image;IIIF,,,"This screenshot, captured from a film that is under copyright, is made available on this website under fair use for scholarly purposes.",http://rightsstatements.org/vocab/InC/1.0/,iiif-image,https://digbmc.github.io/pta-manifests/punc/punc-03453/manifest.json,"https://digitalscholarship.brynmawr.edu/pta/punc/punc-03453/tiles/full/1920,1080/0/default.jpg","https://digitalscholarship.brynmawr.edu/pta/punc/punc-03453/tiles/full/300,169/0/default.jpg",A man walks out of his office.,
punc-03456,,PUNC-03456,Paul Thomas Anderson,Punch-Drunk Love,"Director-approved Blu-ray special edition. New York, New York: The Criterion Collection, 2016.",,,,0:34:56,eye-level,medium shot,interior,mobile; pan,,two shot,,,Image;IIIF,,,"This screenshot, captured from a film that is under copyright, is made available on this website under fair use for scholarly purposes.",http://rightsstatements.org/vocab/InC/1.0/,iiif-image,https://digbmc.github.io/pta-manifests/punc/punc-03456/manifest.json,"https://digitalscholarship.brynmawr.edu/pta/punc/punc-03456/tiles/full/1920,1080/0/default.jpg","https://digitalscholarship.brynmawr.edu/pta/punc/punc-03456/tiles/full/300,169/0/default.jpg",Two women walking.,
punc-03500,,PUNC-03500,Paul Thomas Anderson,Punch-Drunk Love,"Director-approved Blu-ray special edition. New York, New York: The Criterion Collection, 2016.",,,,0:35:00,eye-level,plan américain,interior,mobile; pan; tracking,backlighting,three shot,,,Image;IIIF,,,"This screenshot, captured from a film that is under copyright, is made available on this website under fair use for scholarly purposes.",http://rightsstatements.org/vocab/InC/1.0/,iiif-image,https://digbmc.github.io/pta-manifests/punc/punc-03500/manifest.json,"https://digitalscholarship.brynmawr.edu/pta/punc/punc-03500/tiles/full/1920,1080/0/default.jpg","https://digitalscholarship.brynmawr.edu/pta/punc/punc-03500/tiles/full/300,169/0/default.jpg",Three people stand in a warehouse.,
punc-03529,,PUNC-03529,Paul Thomas Anderson,Punch-Drunk Love,"Director-approved Blu-ray special edition. New York, New York: The Criterion Collection, 2016.",,,,0:35:29,eye-level,medium shot,interior,mobile; tracking,backlighting,group shot,,,Image;IIIF,,,"This screenshot, captured from a film that is under copyright, is made available on this website under fair use for scholarly purposes.",http://rightsstatements.org/vocab/InC/1.0/,iiif-image,https://digbmc.github.io/pta-manifests/punc/punc-03529/manifest.json,"https://digitalscholarship.brynmawr.edu/pta/punc/punc-03529/tiles/full/1920,1080/0/default.jpg","https://digitalscholarship.brynmawr.edu/pta/punc/punc-03529/tiles/full/300,169/0/default.jpg",A group of people in a warehouse.,
punc-03530,,PUNC-03530,Paul Thomas Anderson,Punch-Drunk Love,"Director-approved Blu-ray special edition. New York, New York: The Criterion Collection, 2016.",,,,0:35:30,eye-level,medium shot,interior,mobile; tracking,,dirty single,,,Image;IIIF,,,"This screenshot, captured from a film that is under copyright, is made available on this website under fair use for scholarly purposes.",http://rightsstatements.org/vocab/InC/1.0/,iiif-image,https://digbmc.github.io/pta-manifests/punc/punc-03530/manifest.json,"https://digitalscholarship.brynmawr.edu/pta/punc/punc-03530/tiles/full/1920,1080/0/default.jpg","https://digitalscholarship.brynmawr.edu/pta/punc/punc-03530/tiles/full/300,169/0/default.jpg",A man grimaces.,
punc-03612,,PUNC-03612,Paul Thomas Anderson,Punch-Drunk Love,"Director-approved Blu-ray special edition. New York, New York: The Criterion Collection, 2016.",,,,0:36:12,eye-level,medium shot,interior,mobile; tracking,,single shot,,,Image;IIIF,,,"This screenshot, captured from a film that is under copyright, is made available on this website under fair use for scholarly purposes.",http://rightsstatements.org/vocab/InC/1.0/,iiif-image,https://digbmc.github.io/pta-manifests/punc/punc-03612/manifest.json,"https://digitalscholarship.brynmawr.edu/pta/punc/punc-03612/tiles/full/1920,1080/0/default.jpg","https://digitalscholarship.brynmawr.edu/pta/punc/punc-03612/tiles/full/300,169/0/default.jpg",A man talks on the phone.,
punc-03614,,PUNC-03614,Paul Thomas Anderson,Punch-Drunk Love,"Director-approved Blu-ray special edition. New York, New York: The Criterion Collection, 2016.",,,,0:36:14,eye-level,medium shot,interior,mobile; tracking,,two shot,,,Image;IIIF,,,"This screenshot, captured from a film that is under copyright, is made available on this website under fair use for scholarly purposes.",http://rightsstatements.org/vocab/InC/1.0/,iiif-image,https://digbmc.github.io/pta-manifests/punc/punc-03614/manifest.json,"https://digitalscholarship.brynmawr.edu/pta/punc/punc-03614/tiles/full/1920,1080/0/default.jpg","https://digitalscholarship.brynmawr.edu/pta/punc/punc-03614/tiles/full/300,169/0/default.jpg",Two women talk in a warehouse.,
punc-03628,,PUNC-03628,Paul Thomas Anderson,Punch-Drunk Love,"Director-approved Blu-ray special edition. New York, New York: The Criterion Collection, 2016.",,,,0:36:28,eye-level,medium shot,exterior,mobile; tracking,,two shot,,,Image;IIIF,,,"This screenshot, captured from a film that is under copyright, is made available on this website under fair use for scholarly purposes.",http://rightsstatements.org/vocab/InC/1.0/,iiif-image,https://digbmc.github.io/pta-manifests/punc/punc-03628/manifest.json,"https://digitalscholarship.brynmawr.edu/pta/punc/punc-03628/tiles/full/1920,1080/0/default.jpg","https://digitalscholarship.brynmawr.edu/pta/punc/punc-03628/tiles/full/300,169/0/default.jpg",Two women talk while walking.,
